City,X,Y,Class,Population
Adelaide,2463,1572,1,2
Aden,1764,1188,1,1
Ahmedabad,1966,1118,2,6.352
Al Fashir,1601,1174,1,0.265
Algiers,1442,998,2,5
Alice Springs,2431,1482,1,0.027
Amsterdam,1461,830,1,2.872
Anadyr,2749,648,1,0.013
Anchorage,295,707,1,0.375
Apia,51,1411,1,0.221
Araguaina,1057,1338,1,0.153
Asuncion,993,1497,1,2.329
Athens,1599,982,1,3.737
Atlanta,791,1028,2,5.269
Auckland,2727,1588,1,2
Baghdad,1746,1020,2,7.216
Bamako,1369,1192,1,2.757
Banana,229,1334,1,0.0072
Bangalore,2001,1195,3,8.499
Bangkok,2170,1188,3,10
Barcelona,1435,952,2,5.083
Bariloche,887,1642,1,0.108
Barrow,252,521,1,0.004
Beijing,2295,966,3,10
Beira,1674,1444,1,0.436
Beirut,1693,1020,1,2.25
Belem,1054,1299,1,2.249
Belfast,1368,805,1,0.642
Belgrade,1578,912,1,1.639
Benghazi,1572,1042,1,0.671
Bergen,1458,723,1,0.389
Berlin,1528,831,2,4.43
Bern,1480,886,1,0.66
Bismarck,643,898,1,0.109
Bogota,860,1245,2,7.881
Bordeaux,1417,910,1,1.105
Boston,885,940,2,4.523
Brasilia,1044,1419,1,2.563
Brisbane,2565,1514,1,3
Broken Hill,2486,1550,1,0.027
Broome,2344,1418,1,0.05
Brussels,1454,853,1,2
Bucharest,1651,912,1,1.93
Buenos Aires,988,1575,3,10
Butwal,2044,1078,1,0.124
Cairns,2507,1424,1,0.152
Cairo,1646,1063,3,10
Calgary,577,832,1,1.079
Campo Grande,1002,1452,1,1
Cancun,767,1133,1,0.628
Cape Town,1557,1555,1,3.497
Caracas,910,1209,2,6.474
Casablanca,1364,1031,1,2.95
Cebu,2354,1214,1,0.823
Charleston,823,1035,1,0.659
Chengdu,2164,1051,2,6.731
Chicago,757,931,3,9.461
Chihuahua,631,1070,1,0.841
Christchurch,2712,1650,1,0.381
Cincinnati,791,975,1,2.13
Copenhagen,1516,783,1,1.931
Cordoba,949,1541,1,1.53
Cuiaba,988,1409,1,0.543
Cuzco,884,1390,1,0.359
Dakar,1296,1179,1,2.453
Dallas,692,1036,2,6.372
Darwin,2407,1385,1,0.128
Delhi,1993,1068,3,10
Denver,625,965,1,2.552
Detroit,797,945,2,4.296
Dhaka,2094,1109,3,10
Djibouti,1752,1200,1,0.598
Durban,1649,1526,1,3.5
Easter Island,599,1495,1,0.005
Edmonton,584,798,1,1.035
Fairbanks,310,653,1,0.052
Fortaleza,1121,1316,1,3.602
Georgetown,985,1242,1,0.355
Geraldton,2283,1507,1,0.037
Glasgow,1392,781,1,2.55
Goose Bay,952,789,1,0.008
Guangzhou,2265,1105,3,10
Guatemala,740,1178,2,4.1
Hammerfest,1602,538,1,0.009
Hanoi,2210,1132,2,6.5
Harare,1680,1399,1,3
Harbin,2369,900,2,5.282
Havana,795,1120,1,3
Helsinki,1606,718,1,1.342
Hilo,268,1144,1,0.1
Hobart,2523,1644,1,0.212
Hong Kong,2279,1117,2,7.061
Honolulu,229,1119,2,4
Houston,703,1068,2,5.947
Hyderabad,2010,1163,2,7.749
In Salah,1424,1086,1,0.0437
Inuvik,417,579,1,0.003
Iqaluit,909,664,1,0.007
Iquitos,880,1320,1,0.406
Istanbul,1642,958,3,10
Jakarta,2223,1339,3,10
Jerusalem,1685,1042,1,1.029
Johannesburg,1621,1492,2,4
Juba,1662,1248,1,0.372
Juneau,419,771,1,0.017
Kabul,1944,1012,1,3.071
Kaduna,1476,1207,1,0.76
Kalgoorlie,2346,1531,1,0.033
Kampala,1667,1281,1,1.66
Kananga,1597,1343,1,1.13
Kandahar,1911,1037,1,0.512
Kansas City,699,974,1,2.2
Karachi,1921,1096,3,10
Katherine,2419,1408,1,0.006
Ketchikan,451,803,1,0.008
Khartoum,1667,1179,2,5.274
Kinshasa,1526,1312,3,9.463
Kisangani,1607,1271,1,0.683
Kolkata,2074,1122,3,10
Kuching,2246,1285,1,0.618
Kuwait City,1775,1062,1,2.38
Kyiv,1670,855,1,3.648
La Paz,911,1428,1,2.364
Lagos,1452,1241,3,10
Las Vegas,566,1002,1,1.951
Lhasa,2100,1054,1,0.5
Lilongwe,1694,1379,1,0.782
Lima,837,1357,3,8.473
Lisbon,1355,971,1,2.816
Livingstone,1611,1419,1,0.097
Lobito,1529,1382,1,0.208
London,1410,845,3,10
Los Angeles,526,1023,3,10
Lulea,1583,640,1,0.047
Lyon,1455,905,1,2.118
Madrid,1395,955,2,6.459
Magadan,2561,734,1,0.096
Mahajanga,1769,1416,1,0.136
Manaus,972,1306,1,2.042
Manchester,1397,817,1,0.5
Manila,2326,1182,3,10
Melbourne,2506,1591,2,4.2
Mexico City,683,1145,3,8.851
Miami,819,1096,2,5.547
Minneapolis,719,908,1,3.317
Minsk,1644,807,1,2.1
Mogadishu,1768,1273,1,2
Mombasa,1713,1320,1,0.939
Monrovia,1339,1243,1,1.011
Monterrey,671,1086,2,5.347
Montreal,866,912,1,3.636
Moscow,1719,780,3,10
Mount Isa,2468,1455,1,0.02
Mumbai,1970,1147,3,10
Munich,1507,878,1,3
Murmansk,1665,562,1,0.308
Muscat,1858,1111,1,0.735
Nadi,2790,1460,1,0.937
Nagasaki,2395,1032,1,0.446
Nairobi,1693,1300,2,4
Nanping,2296,1082,1,2.9
Naples,1532,960,1,0.963
New Orleans,744,1059,1,1.236
New York,864,956,3,10
Newman,2335,1480,1,0.008
Nome,177,657,1,0.004
Norilsk,2073,576,1,0.175
Novosibirsk,2063,798,1,1.474
Nuuk,1048,679,1,0.018
Oaxaca,699,1161,1,0.265
Orlando,806,1072,1,2.134
Osaka,2433,1017,2,4
Oslo,1495,736,1,1.442
Ottawa,838,912,1,2
Oulu,1619,648,1,0.144
Padang,2179,1303,1,0.834
Palu,2320,1299,1,0.335
Panama City,828,1221,1,1.273
Paris,1436,871,3,10
Perm,1851,755,1,0.992
Perth,2292,1544,1,2
Pevek,2709,558,1,0.004
Philadelphia,848,972,2,5.965
Phoenix,605,1031,2,4.193
Port Elizabeth,1616,1555,1,1.051
Port Hedland,2326,1449,1,0.012
Port Moresby,2533,1368,1,0.308
Port Sudan,1693,1149,1,0.517
Portland,491,915,1,2.26
Porto Velho,941,1349,1,0.436
Prague,1537,859,1,1.965
Punta Arenas,898,1777,1,0.119
Quebec City,880,890,1,0.716
Quito,827,1295,1,3.342
Rangoon,2137,1167,2,4.348
Recife,1154,1352,2,4.137
Reykjavik,1250,656,1,0.202
Riga,1604,772,1,1.027
Rio De Janeiro,1094,1466,3,10
Riyadh,1760,1102,2,6.8
Rockhampton,2553,1481,1,0.075
Rome,1508,942,1,2.761
Salt Lake City,573,955,1,1.124
Salvador,1126,1385,2,4.866
San Diego,544,1041,1,3.095
San Francisco,504,981,2,4.335
San Jose,789,1212,1,2
Santiago,882,1550,2,7.2
Santo Domingo,888,1150,1,3.712
Sao Paulo,1062,1480,3,10
Sapporo,2479,936,1,3
Saskatoon,635,820,1,0.261
Seattle,491,886,2,4
Sendai,2477,981,1,2
Seoul,2372,989,3,10
Seville,1376,987,1,0.703
Shanghai,2323,1052,3,10
Shenyang,2345,948,3,8.1
Singapore,2189,1272,2,5.182
South Tarawa,2771,1350,1,0.138
Spokane,550,892,1,0.61
St. Louis,737,981,1,2.813
St. Petersburg,1645,725,2,4.88
Stockholm,1551,736,1,2.091
Sydney,2547,1565,3,8
Taipei,2329,1102,2,6.9
Tamuning,2520,1196,1,0.17
Tbilisi,1746,936,1,1.485
Tehran,1797,997,3,10
Teresina,1090,1328,1,2
Thunder Bay,749,872,1,0.122
Tiksi,2384,514,1,0.005
Timbuktu,1399,1162,1,0.0545
Tokyo,2467,1014,3,10
Toronto,817,925,2,5.113
Tripoli,1506,1038,1,1.8
Trondheim,1490,675,1,0.176
Ulan Bator,2221,886,1,1.19
Urumqi,2087,924,1,2.744
Vancouver,488,856,1,2.117
Venice,1508,909,1,0.271
Vienna,1553,878,1,2.419
Vladivostok,2402,933,1,0.592
Volgograd,1746,872,1,1.021
Warsaw,1578,831,1,2.632
Washington DC,839,988,2,5.58
Wellington,2735,1627,1,0.393
Whitehorse,403,723,1,0.023
Windhoek,1552,1468,1,0.32
Winnipeg,689,862,1,0.695
Xi'an,2250,1021,3,8.468
Xining,2158,995,1,1.2
Yakutsk,2394,701,1,0.269
Yellowknife,566,691,1,0.02
Yinchuan,2219,974,1,1.3
Zanzibar,1714,1348,1,2
