         City 1,             to,         City 2,             X1,             Y1,             X2,             Y2,       Distance,          Coins,            Bux
          Dhaka,             to,        Kolkata,           2094,           1109,           2074,           1122,             95,             73,              1
        Kolkata,             to,          Dhaka,           2074,           1122,           2094,           1109,             95,             73,              1
      Sao Paulo,             to, Rio De Janeiro,           1062,           1480,           1094,           1466,            139,             84,              1
 Rio De Janeiro,             to,      Sao Paulo,           1094,           1466,           1062,           1480,            139,             84,              1
          Paris,             to,         London,           1436,            871,           1410,            845,            147,             86,              1
         London,             to,          Paris,           1410,            845,           1436,            871,            147,             86,              1
          Seoul,             to,       Shenyang,           2372,            989,           2345,            948,            196,             99,              1
       Shenyang,             to,          Seoul,           2345,            948,           2372,            989,            196,             99,              1
       Shenyang,             to,        Beijing,           2345,            948,           2295,            966,            212,            103,              1
        Beijing,             to,       Shenyang,           2295,            966,           2345,            948,            212,            103,              1
         Mumbai,             to,      Bangalore,           1970,           1147,           2001,           1195,            228,            107,              1
      Bangalore,             to,         Mumbai,           2001,           1195,           1970,           1147,            228,            107,              1
         Mumbai,             to,        Karachi,           1970,           1147,           1921,           1096,            282,            120,              1
        Karachi,             to,         Mumbai,           1921,           1096,           1970,           1147,            282,            120,              1
          Xi'an,             to,        Beijing,           2250,           1021,           2295,            966,            284,            121,              1
        Beijing,             to,          Xi'an,           2295,            966,           2250,           1021,            284,            121,              1
        Karachi,             to,          Delhi,           1921,           1096,           1993,           1068,            309,            127,              1
          Delhi,             to,        Karachi,           1993,           1068,           1921,           1096,            309,            127,              1
      Guangzhou,             to,       Shanghai,           2265,           1105,           2323,           1052,            314,            128,              1
       Shanghai,             to,      Guangzhou,           2323,           1052,           2265,           1105,            314,            128,              1
       Shanghai,             to,          Xi'an,           2323,           1052,           2250,           1021,            317,            129,              1
          Xi'an,             to,       Shanghai,           2250,           1021,           2323,           1052,            317,            129,              1
          Seoul,             to,       Shanghai,           2372,            989,           2323,           1052,            319,            129,              1
       Shanghai,             to,          Seoul,           2323,           1052,           2372,            989,            319,            129,              1
        Beijing,             to,          Seoul,           2295,            966,           2372,            989,            321,            130,              1
          Seoul,             to,        Beijing,           2372,            989,           2295,            966,            321,            130,              1
         Mumbai,             to,          Delhi,           1970,           1147,           1993,           1068,            329,            132,              1
          Delhi,             to,         Mumbai,           1993,           1068,           1970,           1147,            329,            132,              1
      Guangzhou,             to,          Xi'an,           2265,           1105,           2250,           1021,            341,            135,              1
          Xi'an,             to,      Guangzhou,           2250,           1021,           2265,           1105,            341,            135,              1
        Beijing,             to,       Shanghai,           2295,            966,           2323,           1052,            361,            140,              1
