         City 1,             to,         City 2,             X1,             Y1,             X2,             Y2,       Distance,          Coins,            Bux
           Aden,             to,       Djibouti,           1764,           1188,           1752,           1200,             64,             66,              1
       Djibouti,             to,           Aden,           1752,           1200,           1764,           1188,             64,             66,              1
  Washington DC,             to,   Philadelphia,            839,            988,            848,            972,             72,             68,              1
   Philadelphia,             to,  Washington DC,            848,            972,            839,            988,             72,             68,              1
      Hong Kong,             to,      Guangzhou,           2279,           1117,           2265,           1105,             72,             68,              1
      Guangzhou,             to,      Hong Kong,           2265,           1105,           2279,           1117,             72,             68,              1
         Oaxaca,             to,    Mexico City,            699,           1161,            683,           1145,             88,             72,              1
       New York,             to,   Philadelphia,            864,            956,            848,            972,             88,             72,              1
    Mexico City,             to,         Oaxaca,            683,           1145,            699,           1161,             88,             72,              1
   Philadelphia,             to,       New York,            848,            972,            864,            956,             88,             72,              1
          Dhaka,             to,        Kolkata,           2094,           1109,           2074,           1122,             92,             73,              1
         Beirut,             to,      Jerusalem,           1693,           1020,           1685,           1042,             92,             73,              1
      Jerusalem,             to,         Beirut,           1685,           1042,           1693,           1020,             92,             73,              1
        Kolkata,             to,          Dhaka,           2074,           1122,           2094,           1109,             92,             73,              1
         Harare,             to,       Lilongwe,           1680,           1399,           1694,           1379,             96,             74,              1
         Ottawa,             to,        Toronto,            838,            912,            817,            925,             96,             74,              1
         Prague,             to,         Vienna,           1537,            859,           1553,            878,             96,             74,              1
      Amsterdam,             to,       Brussels,           1461,            830,           1454,            853,             96,             74,              1
        Toronto,             to,         Ottawa,            817,            925,            838,            912,             96,             74,              1
       Brussels,             to,      Amsterdam,           1454,            853,           1461,            830,             96,             74,              1
       Lilongwe,             to,         Harare,           1694,           1379,           1680,           1399,             96,             74,              1
         Vienna,             to,         Prague,           1553,            878,           1537,            859,             96,             74,              1
    Los Angeles,             to,      San Diego,            526,           1023,            544,           1041,            100,             75,              1
      San Diego,             to,    Los Angeles,            544,           1041,            526,           1023,            100,             75,              1
       Brussels,             to,          Paris,           1454,            853,           1436,            871,            100,             75,              1
         Darwin,             to,      Katherine,           2407,           1385,           2419,           1408,            100,             75,              1
      Katherine,             to,         Darwin,           2419,           1408,           2407,           1385,            100,             75,              1
          Paris,             to,       Brussels,           1436,            871,           1454,            853,            100,             75,              1
         Lisbon,             to,        Seville,           1355,            971,           1376,            987,            104,             76,              1
        Seville,             to,         Lisbon,           1376,            987,           1355,            971,            104,             76,              1
       New York,             to,         Boston,            864,            956,            885,            940,            104,             76,              1
    Quebec City,             to,       Montreal,            880,            890,            866,            912,            104,             76,              1
         Boston,             to,       New York,            885,            940,            864,            956,            104,             76,              1
       Montreal,             to,    Quebec City,            866,            912,            880,            890,            104,             76,              1
        Orlando,             to,          Miami,            806,           1072,            819,           1096,            108,             77,              1
          Miami,             to,        Orlando,            819,           1096,            806,           1072,            108,             77,              1
        Nairobi,             to,        Mombasa,           1693,           1300,           1713,           1320,            112,             78,              1
        Mombasa,             to,        Nairobi,           1713,           1320,           1693,           1300,            112,             78,              1
        Mombasa,             to,       Zanzibar,           1713,           1320,           1714,           1348,            112,             78,              1
       Montreal,             to,         Ottawa,            866,            912,            838,            912,            112,             78,              1
         Munich,             to,           Bern,           1507,            878,           1480,            886,            112,             78,              1
       Zanzibar,             to,        Mombasa,           1714,           1348,           1713,           1320,            112,             78,              1
           Bern,             to,         Munich,           1480,            886,           1507,            878,            112,             78,              1
         Ottawa,             to,       Montreal,            838,            912,            866,            912,            112,             78,              1
        Detroit,             to,        Toronto,            797,            945,            817,            925,            112,             78,              1
        Toronto,             to,        Detroit,            817,            925,            797,            945,            112,             78,              1
         Berlin,             to,         Prague,           1528,            831,           1537,            859,            116,             79,              1
        Seattle,             to,       Portland,            491,            886,            491,            915,            116,             79,              1
         Mumbai,             to,      Ahmedabad,           1970,           1147,           1966,           1118,            116,             79,              1
       Portland,             to,        Seattle,            491,            915,            491,            886,            116,             79,              1
         Prague,             to,         Berlin,           1537,            859,           1528,            831,            116,             79,              1
